"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@Perl_op_append_elem,0,0,0,0,0,7,0,0,0,0,3.5092
function@Perl_load_module,0,0,0,0,0,0,0,0,0,0,0
function@Perl_op_prepend_elem,0,0,0,0,0,11,0,0,0,0,6.8618
function@Perl_my_attrs,0,0,0,0,0,16,0,0,0,0,7.53516
function@S_my_kid,0,0,0,0,0,12,0,0,0,0,5.8934
function@Perl_op_append_list,0,0,0,0,0,10,0,0,0,0,4.43731
function@S_cant_declare,0,0,0,0,0,1,0,0,0,0,0.333333
function@S_apply_attrs,0,0,0,0,0,27,0,0,0,0,15.4312
function@S_apply_attrs_my,0,0,0,0,0,53,0,0,0,0,24.9179
function@S_dup_attrlist,0,0,0,0,0,10,0,0,0,0,11.3333
function@Perl_newOP,0,0,0,0,0,5,0,0,0,0,3
function@Perl_op_convert_list,0,0,0,0,0,16,0,0,0,0,6.05882
function@Perl_newMETHOP_named,0,0,0,0,0,3,0,0,0,0,3
function@Perl_sawparens,0,0,0,0,0,0,0,0,0,0,0
function@Perl_bind_match,5,0,0,2,0,31,54.0484,0,1.68548,0,270.468
function@Perl_newBINOP,0,0,0,0,0,14,0,0,0,0,9.12891
function@Perl_pmruntime,232,0,0,65,0,108,126.581,0,39.0456,0,49.9667
function@Perl_newPMOP,0,0,0,0,0,6,0,0,0,0,4.5
function@Perl_invert,0,0,0,0,0,3,0,0,0,0,2.2381
function@Perl_op_scope,0,0,0,0,0,8,0,0,0,0,3.8
function@Perl_newLISTOP,0,0,0,0,0,11,0,0,0,0,6.90476
function@Perl_op_unscope,0,0,0,0,0,3,0,0,0,0,5.175
function@Perl_block_start,0,0,0,0,0,11,0,0,0,0,20.9062
function@Perl_block_end,1,0,0,2,0,23,20,0,0.9375,0,80.3594
function@S_scalarseq,0,0,0,0,0,4,0,0,0,0,14.375
function@Perl_newSTATEOP,3,0,0,2,0,16,1.49231,0,1.24615,0,10.7385
function@Perl_blockhook_register,0,0,0,0,0,1,0,0,0,0,1
function@Perl_newPROG,0,0,0,0,0,16,0,0,0,0,4.2967
function@Perl_localize,2,0,0,1,0,12,0.0642553,0,0.0625,0,3.06294
function@Perl_jmaybe,0,0,0,0,0,14,0,0,0,0,4.96471
function@Perl_newSVREF,0,0,0,0,0,4,0,0,0,0,2.5
function@Perl_newGVOP,0,0,0,0,0,0,0,0,0,0,0
function@S_force_list,0,0,0,0,0,9,0,0,0,0,4.67647
function@S_fold_constants,14,0,0,5,0,36,0.484619,0,0.386707,0,6.36518
function@Perl_newNULLLIST,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newUNOP_AUX,0,0,0,0,0,9,0,0,0,0,6.69048
function@Perl_newMETHOP,0,0,0,0,0,12,0,0,0,0,6.06618
function@Perl_newATTRSUB_x,93,0,0,33,0,141,7.3462,0,5.94714,0,20.9844
function@S_set_haseval,0,0,0,0,0,1,0,0,0,0,3.2381
function@uvcompare,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newDEFSVOP,0,0,0,0,0,7,0,0,0,0,3.76471
function@Perl_newPVOP,0,0,0,0,0,8,0,0,0,0,6
function@Perl_package,0,0,0,0,0,6,0,0,0,0,6
function@Perl_package_version,0,0,0,0,0,2,0,0,0,0,2
function@Perl_utilize,0,0,0,0,0,96,0,0,0,0,35.9906
function@Perl_vload_module,0,0,0,0,0,24,0,0,0,0,22.8529
function@Perl_dofile,0,0,0,0,0,8,0,0,0,0,3.82353
function@Perl_newSLICEOP,0,0,0,0,0,8,0,0,0,0,8
function@Perl_newASSIGNOP,0,0,0,0,0,60,0,0,0,0,12.6714
function@Perl_newLOGOP,0,0,0,0,0,0,0,0,0,0,0
function@S_assignment_type,0,0,0,0,0,6,0,0,0,0,1.72786
function@S_new_logop,0,0,0,0,0,40,0,0,0,0,29.678
function@Perl_newCONDOP,0,0,0,0,0,51,0,0,0,0,37.6614
function@Perl_newRANGE,0,0,0,0,0,27,0,0,0,0,38.3429
function@Perl_newLOOPOP,0,0,0,0,0,27,0,0,0,0,11.8263
function@Perl_newWHILEOP,0,0,0,0,0,46,0,0,0,0,21.5155
function@Perl_newFOROP,9,0,0,5,0,52,4.36657,0,1.99707,0,22.3754
function@Perl_newLOOPEX,0,0,0,0,0,21,0,0,0,0,7.25
function@Perl_newGIVENOP,0,0,0,0,0,4,0,0,0,0,4
function@S_newGIVWHENOP,0,0,0,0,0,21,0,0,0,0,31.4118
function@S_ref_array_or_hash,0,0,0,0,0,3,0,0,0,0,0.913043
function@Perl_newANONLIST,0,0,0,0,0,1,0,0,0,0,1
function@Perl_newWHENOP,0,0,0,0,0,13,0,0,0,0,7.24
function@S_looks_like_bool,0,0,0,0,0,5,0,0,0,0,1.63576
function@Perl_cv_ckproto_len_flags,0,0,0,0,0,60,0,0,0,0,9.72752
function@Perl_cv_const_sv,0,0,0,0,0,5,0,0,0,0,0.944785
function@Perl_cv_const_sv_or_av,0,0,0,0,0,2,0,0,0,0,0.529412
function@Perl_newMYSUB,64,0,0,28,0,75,20.8407,0,12.0967,0,21.628
function@S_move_proto_attr,5,0,0,1,0,28,0.55013,0,1,0,8.64225
