"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_Z11reset_boardP7state_t,0,0,0,0,0,0,0,0,0,0,0
function@_Z15make_text_movesP11gamestate_tP7state_tPc,2,0,0,2,0,2,12.9123,0,7.08116,0,7.28943
function@_Z8myrandomv,0,0,0,0,0,1,0,0,0,0,1
function@_Z7mysrandj,0,0,0,0,0,0,0,0,0,0,0
function@main,0,0,0,0,0,0,0,0,0,0,0
function@_Z7is_drawP11gamestate_tP7state_t,2,3,0,4,0,3,0.625,7.03409,0.886364,0,2.29545
function@_Z21insufficient_materialP7state_t,0,0,0,0,0,0,0,0,0,0,0
function@_Z11is_attackedP7state_tii,1,20,0,8,1,14,0.0328671,0.237762,0.176923,0.0195804,0.175175
function@_Z8in_checkP7state_t,0,0,0,0,0,0,0,0,0,0,0
function@_Z10attacks_toP7state_ti,9,8,0,12,2,7,6.61905,5.33333,9.61905,2,5.09524
function@_Z14drawn_endgamesP7state_tiii,51,7,0,24,0,59,1.4088,0.143899,4.16368,0,4.73082
function@_Z15init_parametersP11gamestate_t,0,0,0,0,0,0,0,0,0,0,0
