"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_ZN20ComputeNonbondedUtil22calc_pair_energy_pprofEP9nonbonded,374,42,0,158,3,206,2184.39,983.429,912.908,0.56044,590.737
function@_ZN20ComputeNonbondedUtil25calc_pair_fullelect_pprofEP9nonbonded,466,54,0,185,2,220,5155.79,1459.49,1586.12,0.373626,1336.65
function@_ZN20ComputeNonbondedUtil32calc_pair_energy_fullelect_pprofEP9nonbonded,480,59,0,219,2,224,5482.22,2227.65,2878.04,0.373626,1571.19
function@_ZN20ComputeNonbondedUtil31calc_pair_merge_fullelect_pprofEP9nonbonded,368,48,0,152,3,215,2273.42,1162.78,369.46,0.56044,718.265
function@_ZN20ComputeNonbondedUtil38calc_pair_energy_merge_fullelect_pprofEP9nonbonded,371,56,0,176,2,234,2817.74,1400.89,1178.82,0.373626,738.12
function@_ZN20ComputeNonbondedUtil30calc_pair_slow_fullelect_pprofEP9nonbonded,354,48,0,149,3,227,1779.84,1274.02,194.298,0.56044,845.198
function@_ZN20ComputeNonbondedUtil37calc_pair_energy_slow_fullelect_pprofEP9nonbonded,381,50,0,152,3,232,1981.39,1405.65,445.21,0.56044,1152
function@_ZN20ComputeNonbondedUtil15calc_self_pprofEP9nonbonded,301,44,0,123,2,214,1411.75,850.327,145.371,0.373626,569.122
function@_ZN20ComputeNonbondedUtil22calc_self_energy_pprofEP9nonbonded,313,44,0,147,8,199,1881.93,968.159,650.044,0.708791,553.327
function@_ZN20ComputeNonbondedUtil25calc_self_fullelect_pprofEP9nonbonded,383,43,0,165,10,218,4357.4,963.396,1108.47,0.965659,1131.09
function@_ZN20ComputeNonbondedUtil32calc_self_energy_fullelect_pprofEP9nonbonded,371,65,0,191,8,216,4801.26,1959.76,1925.1,0.708791,1319.86
function@_ZN20ComputeNonbondedUtil31calc_self_merge_fullelect_pprofEP9nonbonded,337,42,0,132,2,206,1697.48,961.603,161.141,0.373626,637.669
function@_ZN20ComputeNonbondedUtil38calc_self_energy_merge_fullelect_pprofEP9nonbonded,342,57,0,152,2,213,2301.69,1467.49,789.364,0.373626,642.552
function@_ZN20ComputeNonbondedUtil30calc_self_slow_fullelect_pprofEP9nonbonded,323,44,0,133,10,204,1135.46,906.434,157.464,0.965659,747.757
function@_ZN20ComputeNonbondedUtil37calc_self_energy_slow_fullelect_pprofEP9nonbonded,319,51,0,136,10,213,1676.51,1342.87,231.492,0.965659,763.91
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,2,0,0,2,0,9,0.494118,0,0.494118,0,3.34118
function@_ZN20ComputeNonbondedUtil6selectEP13SimParametersP8MoleculeP7LJTable,90,25,0,68,7,50,1248.72,99.6894,634.293,1.75,1553.59
