"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_QMlmd_vmix_modPlmd_vmix_tile,696,5,0,239,0,17,171213,165.8,10721.7,0,4392.72
function@_QMlmd_vmix_modPlmd_finish,0,0,0,0,0,0,0,0,0,0,0
function@_QMlmd_vmix_modPlmd_finish_tile,33,0,0,15,0,20,1471.91,0,17.3692,0,371.292
function@wrt_floats_,0,0,0,0,0,0,0,0,0,0,0
function@_QMnf_fwrite3d_bry_modPnf_fwrite3d_bry,77,0,0,31,0,34,19568.3,0,1497.19,0,14156.6
function@my_flush_,0,0,0,0,0,0,0,0,0,0,0
function@my_getpid_,0,0,0,0,0,0,0,0,0,0,0
function@my_numthreads_,0,0,0,0,0,0,0,0,0,0,0
function@my_threadnum_,0,0,0,0,0,0,0,0,0,0,0
function@my_wtime_,0,0,0,0,0,0,0,0,0,0,0
function@wrt_station_,0,0,0,0,0,0,0,0,0,0,0
function@lmd_swfrac_tile_,56,1,0,29,0,8,2944.95,3.15,853.9,0,722.7
function@_QMstate_initialize_modPstate_initialize,2,0,0,1,0,37,7.84615,0,0.384615,0,14609.6
function@get_cycle_,56,0,0,18,0,39,37.2663,0,17.3123,0,46.6223
function@wrt_info_,334,0,0,38,0,574,13.5557,0,5.84033,0,8.25
function@_QMt3dmix_modPt3dmix2,0,0,0,0,0,8,0,0,0,0,8
function@_QMt3dmix_modPt3dmix2_tile,536,9,0,123,0,19,2.63887e+06,5603.5,166546,0,4686.58
function@_QMini_fields_modPini_fields,0,0,0,0,0,0,0,0,0,0,0
function@_QMini_fields_modPini_fields_tile,600,4,0,113,0,57,23657.1,21.3929,550.875,0,6014.86
function@_QMini_fields_modPini_zeta,0,0,0,0,0,0,0,0,0,0,0
function@_QMini_fields_modPini_zeta_tile,75,0,0,17,0,34,73.9541,0,15.1009,0,43.3027
function@set_scoord_,50,0,0,5,0,25,152.765,0,6.75294,0,175.553
function@_QMset_3dfld_modPset_3dfld_tile,150,1,0,47,0,57,4818.31,3.66323,547.316,0,242.1
function@obs_read_,0,0,0,0,0,0,0,0,0,0,0
function@wrt_error_,0,0,0,0,0,0,0,0,0,0,0
function@initial_,0,0,0,0,0,35,0,0,0,0,2398.74
function@lubksb_,0,0,0,0,0,6,0,0,0,0,40.55
function@_QMran_statePran_init,0,0,0,0,0,3,0,0,0,0,3
function@_QMran_statePran_seed,0,0,0,0,0,3,0,0,0,0,3
function@_QMmod_gridPallocate_grid,59,0,0,9,0,51,58.5,0,9,0,50
function@_QMmod_gridPinitialize_grid,0,0,0,0,0,12,0,0,0,0,665.72
function@_QMpre_step3d_modPpre_step3d,5,0,0,1,0,4,5,0,1,0,4
function@_QMpre_step3d_modPpre_step3d_tile,2371,17,0,460,0,89,6.29454e+06,6809.53,135463,0,547321
function@checkdefs_,0,0,0,0,0,370,0,0,0,0,1783.88
function@_QQmain,0,0,0,0,0,0,0,0,0,0,0
function@set_diags_,0,0,0,0,0,0,0,0,0,0,0
function@checkvars_,108,0,0,23,0,211,441.638,0,117.937,0,495.054
function@main2d_,0,0,0,0,0,0,0,0,0,0,0
function@get_2dfld_,116,0,0,51,0,165,27.1153,0,22.4889,0,176.871
function@_QMnf_fread3d_modPnf_fread3d,38,0,0,11,0,31,75.3176,0,11,0,64.0977
function@def_tides_,0,0,0,0,0,0,0,0,0,0,0
function@gasdev_s_,0,0,0,0,0,2,0,0,0,0,1.5
