"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_ZN6dealii7Threads8internal16fun_encapsulatorIvN5boost6tuples5tupleINS5_IRKNS_7MappingILi3ELi3EEERKNS_10DoFHandlerILi3ELi3EEERKNS_10QuadratureILi2EEENS4_9null_typeESI_SI_SI_SI_SI_SI_EERNS_12SparseMatrixIdEERKSt3mapIhPKNS_8FunctionILi3EEESt4lessIhESaISt4pairIKhSR_EEERNS_6VectorIdEERSt6vectorIjSaIjEESR_RKS16_NS_13MatrixCreator13IteratorRangeISB_EERNS0_16DummyThreadMutexESI_EELi9EEclESJ_SM_S10_S13_S17_SR_S19_S1C_S1E_,3,0,0,2,0,23,2.99999,0,2,0,6.82813
function@_ZN6dealii13MatrixCreator27create_boundary_mass_matrixILi3ELi3EEEvRKNS_2hp17MappingCollectionIXT_EXT0_EEERKNS2_10DoFHandlerIXT_EXT0_EEERKNS2_11QCollectionIXmiT_Li1EEEERNS_12SparseMatrixIdEERKNS_11FunctionMapIXT0_EE4typeERNS_6VectorIdEERSt6vectorIjSaIjEEPKNS_8FunctionIXT0_EEESS_,9,0,0,6,0,25,122.363,0,6,0,140.128
function@_ZN6dealii13MatrixCreator29create_boundary_mass_matrix_1ILi3ELi3EEEvN5boost6tuples5tupleIRKNS_2hp17MappingCollectionIXT_EXT0_EEERKNS5_10DoFHandlerIXT_EXT0_EEERKNS5_11QCollectionIXmiT_Li1EEEENS3_9null_typeESI_SI_SI_SI_SI_SI_EERNS_12SparseMatrixIdEERKNS_11FunctionMapIXT0_EE4typeERNS_6VectorIdEERSt6vectorIjSaIjEEPKNS_8FunctionIXT0_EEERKSX_NS0_13IteratorRangeISB_EERNS_7Threads16DummyThreadMutexE,159,63,0,69,12,148,111552,109863,12795.6,1335.08,81387.1
function@_ZN6dealii7Threads8internal16fun_encapsulatorIvN5boost6tuples5tupleINS5_IRKNS_2hp17MappingCollectionILi3ELi3EEERKNS6_10DoFHandlerILi3ELi3EEERKNS6_11QCollectionILi2EEENS4_9null_typeESJ_SJ_SJ_SJ_SJ_SJ_EERNS_12SparseMatrixIdEERKSt3mapIhPKNS_8FunctionILi3EEESt4lessIhESaISt4pairIKhSS_EEERNS_6VectorIdEERSt6vectorIjSaIjEESS_RKS17_NS_13MatrixCreator13IteratorRangeISC_EERNS0_16DummyThreadMutexESJ_EELi9EEclESK_SN_S11_S14_S18_SS_S1A_S1D_S1F_,3,0,0,2,0,23,2.99999,0,2,0,6.82813
function@_ZN6dealii13MatrixCreator27create_boundary_mass_matrixILi3ELi3EEEvRKNS_2hp10DoFHandlerIXT_EXT0_EEERKNS2_11QCollectionIXmiT_Li1EEEERNS_12SparseMatrixIdEERKNS_11FunctionMapIXT0_EE4typeERNS_6VectorIdEERSt6vectorIjSaIjEEPKNS_8FunctionIXT0_EEESO_,4,1,0,4,2,15,3.99875,0.999688,3.99969,1.99969,12.2465
function@_ZN6dealii13MatrixCreator21create_laplace_matrixILi3ELi3EEEvRKNS_10DoFHandlerIXT_EXT0_EEERKNS_10QuadratureIXT_EEERNS_12SparseMatrixIdEEPKNS_8FunctionIXT0_EEE,0,0,0,0,0,4,0,0,0,0,4
function@_ZN6dealii13MatrixCreator21create_laplace_matrixILi3ELi3EEEvRKNS_7MappingIXT_EXT0_EEERKNS_10DoFHandlerIXT_EXT0_EEERKNS_10QuadratureIXT_EEERNS_12SparseMatrixIdEEPKNS_8FunctionIXT0_EEE,2,1,0,3,0,28,39.9959,19.998,3,0,158.501
function@_ZN6dealii13MatrixCreator23create_laplace_matrix_1ILi3ELi3EEEvRKNS_7MappingIXT_EXT0_EEERKNS_10DoFHandlerIXT_EXT0_EEERKNS_10QuadratureIXT_EEERNS_12SparseMatrixIdEEPKNS_8FunctionIXT0_EEENS0_13IteratorRangeIS7_EERNS_7Threads16DummyThreadMutexE,50,24,0,18,0,49,56897.2,66539.2,6651.13,0,30212
function@_ZN6dealii13MatrixCreator21create_laplace_matrixILi3ELi3EEEvRKNS_7MappingIXT_EXT0_EEERKNS_10DoFHandlerIXT_EXT0_EEERKNS_10QuadratureIXT_EEERNS_12SparseMatrixIdEERKNS_8FunctionIXT0_EEERNS_6VectorIdEEPSJ_,6,0,0,4,0,24,81.9918,0,4,0,116.505
function@_ZN6dealii13MatrixCreator23create_laplace_matrix_2ILi3ELi3EEEvRKNS_7MappingIXT_EXT0_EEERKNS_10DoFHandlerIXT_EXT0_EEERKNS_10QuadratureIXT_EEERNS_12SparseMatrixIdEERKNS_8FunctionIXT0_EEERNS_6VectorIdEEPSJ_NS0_13IteratorRangeIS7_EERNS_7Threads16DummyThreadMutexE,73,22,0,32,1,75,59262.5,70556.3,7082.43,62.212,61300.3
function@_ZN6dealii13MatrixCreator21create_laplace_matrixILi3ELi3EEEvRKNS_10DoFHandlerIXT_EXT0_EEERKNS_10QuadratureIXT_EEERNS_12SparseMatrixIdEERKNS_8FunctionIXT0_EEERNS_6VectorIdEEPSF_,0,0,0,0,0,6,0,0,0,0,6
function@_ZN6dealii13MatrixCreator21create_laplace_matrixILi3ELi3EEEvRKNS_2hp10DoFHandlerIXT_EXT0_EEERKNS2_11QCollectionIXT_EEERNS_12SparseMatrixIdEEPKNS_8FunctionIXT0_EEE,0,0,0,0,0,4,0,0,0,0,4
function@_ZN6dealii13MatrixCreator21create_laplace_matrixILi3ELi3EEEvRKNS_2hp17MappingCollectionIXT_EXT0_EEERKNS2_10DoFHandlerIXT_EXT0_EEERKNS2_11QCollectionIXT_EEERNS_12SparseMatrixIdEEPKNS_8FunctionIXT0_EEE,2,1,0,3,0,28,39.9959,19.998,3,0,158.501
function@_ZN6dealii13MatrixCreator23create_laplace_matrix_1ILi3ELi3EEEvRKNS_2hp17MappingCollectionIXT_EXT0_EEERKNS2_10DoFHandlerIXT_EXT0_EEERKNS2_11QCollectionIXT_EEERNS_12SparseMatrixIdEEPKNS_8FunctionIXT0_EEENS0_13IteratorRangeIS8_EERNS_7Threads16DummyThreadMutexE,56,20,0,16,0,49,45985.9,494.73,7151.29,0,48998.9
function@_ZN6dealii13MatrixCreator21create_laplace_matrixILi3ELi3EEEvRKNS_2hp17MappingCollectionIXT_EXT0_EEERKNS2_10DoFHandlerIXT_EXT0_EEERKNS2_11QCollectionIXT_EEERNS_12SparseMatrixIdEERKNS_8FunctionIXT0_EEERNS_6VectorIdEEPSK_,6,0,0,4,0,24,81.9918,0,4,0,116.505
function@_ZN6dealii13MatrixCreator23create_laplace_matrix_2ILi3ELi3EEEvRKNS_2hp17MappingCollectionIXT_EXT0_EEERKNS2_10DoFHandlerIXT_EXT0_EEERKNS2_11QCollectionIXT_EEERNS_12SparseMatrixIdEERKNS_8FunctionIXT0_EEERNS_6VectorIdEEPSK_NS0_13IteratorRangeIS8_EERNS_7Threads16DummyThreadMutexE,89,23,0,23,2,68,104020,28636.9,7154.28,62.167,73926.9
function@_ZN6dealii13MatrixCreator21create_laplace_matrixILi3ELi3EEEvRKNS_2hp10DoFHandlerIXT_EXT0_EEERKNS2_11QCollectionIXT_EEERNS_12SparseMatrixIdEERKNS_8FunctionIXT0_EEERNS_6VectorIdEEPSG_,0,0,0,0,0,6,0,0,0,0,6
function@_ZN5boost10shared_ptrIN6dealii7Threads8internal16ThreadDescriptorIvEEED2Ev,0,0,0,0,0,2,0,0,0,0,0.307692
function@_ZNSt6vectorIjSaIjEE17_M_realloc_insertEN9__gnu_cxx17__normal_iteratorIPjS1_EERKj,12,4,0,4,0,9,9.62449,4,4,0,8.62299
function@_ZSt9__advanceIN6dealii18TriaActiveIteratorINS0_15DoFCellAccessorINS0_10DoFHandlerILi3ELi3EEEEEEElEvRT_T0_St26bidirectional_iterator_tag,0,0,0,0,0,16,0,0,0,0,5277.56
function@_ZNSt6vectorIN6dealii6VectorIdEESaIS2_EEC2EmRKS2_RKS3_,0,0,0,0,0,12,0,0,0,0,29.2493
function@_ZN6dealii6VectorIdED2Ev,0,0,0,0,0,2,0,0,0,0,2
function@_ZN6dealii8FEValuesILi3ELi3EED2Ev,0,0,0,0,0,6,0,0,0,0,2
