"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_QMlmd_vmix_modPlmd_vmix,28,1,0,26,0,13,28,1,26,0,13
function@_QMlmd_vmix_modPlmd_vmix_tile,699,282,0,252,92,57,395642,143153,94197.7,23987.1,110129
function@_QMlmd_vmix_modPlmd_finish,7,0,0,7,0,4,7,0,7,0,4
function@_QMlmd_vmix_modPlmd_finish_tile,47,26,0,38,6,18,1363.29,9611.06,200.646,127.662,48775.4
function@wrt_floats_,0,0,0,0,0,0,0,0,0,0,0
function@_QMnf_fwrite3d_bry_modPnf_fwrite3d_bry,90,50,0,45,21,20,18751.3,24266.9,2314,2670.1,70594.9
function@my_flush_,0,0,0,0,0,0,0,0,0,0,0
function@my_getpid_,0,0,0,0,0,0,0,0,0,0,0
function@my_numthreads_,0,0,0,0,0,0,0,0,0,0,0
function@my_threadnum_,0,0,0,0,0,0,0,0,0,0,0
function@my_wtime_,0,0,0,0,0,0,0,0,0,0,0
function@wrt_station_,0,0,0,0,0,0,0,0,0,0,0
function@lmd_swfrac_tile_,72,32,0,57,11,18,5974.3,3633.6,4530.2,6.4,2142.65
function@_QMstate_initialize_modPstate_initialize,59,46,0,42,4,26,15521.9,15638.5,773.975,2.425,226880
function@get_cycle_,29,2,0,10,5,43,21.615,1.65617,9.1937,8.91283,49.0291
function@wrt_info_,343,86,0,59,0,544,10.9659,4,7.96564,0,7
function@_QMt3dmix_modPt3dmix2,23,1,0,23,0,15,23,1,23,0,15
function@_QMt3dmix_modPt3dmix2_tile,564,339,0,260,90,125,1.18223e+07,4.06764e+06,2.63993e+06,886006,2.6851e+06
function@_QMini_fields_modPini_fields,29,0,0,28,0,10,29,0,28,0,10
function@_QMini_fields_modPini_fields_tile,522,172,0,171,73,45,86180.5,19542.2,16918.1,10749,88532.3
function@_QMini_fields_modPini_zeta,1,0,0,1,0,9,1,0,1,0,9
function@_QMini_fields_modPini_zeta_tile,68,23,0,29,7,10,245.138,715.789,32.4037,2.00917,765.807
function@set_scoord_,165,51,0,115,6,51,544.53,158.894,377.094,11.2353,269.318
function@_QMset_3dfld_modPset_3dfld_tile,181,94,0,117,37,68,10636.3,3428.94,4762.85,1294.1,6273.59
function@obs_read_,0,0,0,0,0,0,0,0,0,0,0
function@wrt_error_,0,0,0,0,0,0,0,0,0,0,0
function@initial_,46,2,0,4,1,75,1836.77,8.58064,9.70968,0.129032,2506.26
function@lubksb_,0,0,0,0,0,13,0,0,0,0,68.5
function@_QMran_statePran_init,0,0,0,0,0,3,0,0,0,0,3
function@_QMran_statePran_seed,0,0,0,0,0,3,0,0,0,0,3
function@_QMmod_gridPallocate_grid,295,25,0,58,16,93,294.5,25,58,16,92
function@_QMmod_gridPinitialize_grid,11,56,0,12,3,110,673.72,9330.36,172.84,4.76,79724
function@_QMpre_step3d_modPpre_step3d,116,0,0,111,0,10,116,0,111,0,10
function@_QMpre_step3d_modPpre_step3d_tile,2009,1113,0,809,227,412,1.159e+07,5.32407e+06,2.27551e+06,841290,2.68239e+06
function@checkdefs_,7,2,0,4,1,361,5.375,2,3.375,0.625,215.906
function@_QQmain,0,0,0,0,0,0,0,0,0,0,0
function@set_diags_,0,0,0,0,0,0,0,0,0,0,0
function@checkvars_,55,2,0,8,0,249,330.389,5.25,114.25,0,491.252
function@main2d_,0,0,0,0,0,0,0,0,0,0,0
function@get_2dfld_,195,40,0,68,14,181,57.2879,7.72043,26.4386,4.34187,141.77
function@_QMnf_fread3d_modPnf_fread3d,34,33,0,32,5,22,909.706,940.773,62.5233,1.23547,869.259
function@def_tides_,0,0,0,0,0,0,0,0,0,0,0
function@gasdev_s_,16,2,0,11,0,3,178.5,8.75,145,0,33
function@gasdev_v_,129,56,0,31,4,32,831.309,203.42,129.557,3.07798,107.842
function@def_dim_,3,1,0,2,0,15,1.375,0.625,1.625,0,7.25
function@inp_par_,69,14,0,50,2,105,248.385,81.3279,323.836,0.377049,458.992
function@read_phypar_,369,37,0,106,33,1637,36.1006,3.94281,8.93898,0.188347,598.523
