"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_QMlmd_vmix_modPlmd_finish,5,0,0,5,0,4,5,0,5,0,4
function@_QMlmd_vmix_modPlmd_finish_tile,43,15,0,36,3,19,2281.52,5301.45,673.708,0.630769,48439.7
function@_QMnf_fwrite3d_bry_modPnf_fwrite3d_bry,63,37,0,40,4,28,17153.7,23548.8,2089.24,1970.71,70942.9
function@my_wtime_,0,0,0,0,0,0,0,0,0,0,0
function@lmd_swfrac_tile_,40,18,0,43,1,33,3406,1615.1,2785.4,0.4,3011.65
function@_QMstate_initialize_modPstate_initialize,42,36,0,32,0,31,7909.4,21027.9,302.675,0,246912
function@get_cycle_,27,1,0,11,2,51,22.6368,5.25666,18.8886,2,62.4261
function@wrt_info_,343,61,0,6,0,633,3.93036,2,5.5,0,14.4656
function@_QMt3dmix_modPt3dmix2,8,0,0,8,0,12,8,0,8,0,12
function@_QMt3dmix_modPt3dmix2_tile,377,212,0,210,11,280,4.63131e+06,2.65143e+06,204651,15023.6,5.6449e+06
function@_QMini_fields_modPini_fields,15,0,0,15,0,10,15,0,15,0,10
function@_QMini_fields_modPini_fields_tile,288,114,0,146,21,153,13062.5,19649.3,924.286,561.196,101585
function@_QMini_fields_modPini_zeta,1,0,0,1,0,9,1,0,1,0,9
function@_QMini_fields_modPini_zeta_tile,38,9,0,20,0,44,62.4128,31.9541,22.3394,0,825.193
function@set_scoord_,32,12,0,37,0,81,120.4,41.3176,98.1765,0,335.8
function@_QMset_3dfld_modPset_3dfld_tile,106,51,0,67,11,88,689.258,644.619,70.0962,1.05498,8021.24
function@initial_,4,0,0,4,0,72,31.7903,0,31.7903,0,4411.44
function@lubksb_,0,0,0,0,0,7,0,0,0,0,31.3
function@_QMran_statePran_init,0,0,0,0,0,3,0,0,0,0,3
function@_QMran_statePran_seed,0,0,0,0,0,3,0,0,0,0,3
function@_QMmod_gridPallocate_grid,209,1,0,45,0,110,209,1,45,0,109
function@_QMmod_gridPinitialize_grid,10,5,0,8,0,111,683.12,151.2,160.52,0,79861.2
function@_QMpre_step3d_modPpre_step3d,59,0,0,59,0,14,59,0,59,0,14
function@_QMpre_step3d_modPpre_step3d_tile,1413,670,0,662,50,756,3.20513e+06,3.28397e+06,174916,29402.3,5.17571e+06
function@checkdefs_,1,0,0,1,0,370,1,0,1,0,220.531
function@_QQmain,0,0,0,0,0,0,0,0,0,0,0
function@checkvars_,46,2,0,9,0,330,131.264,105,22.6562,0,1198.97
function@get_2dfld_,112,16,0,35,8,244,48.8448,2.42317,28.1836,2.97495,200.361
function@_QMnf_fread3d_modPnf_fread3d,39,17,0,30,2,25,119.875,74.5349,16.0029,0.0465116,832.526
function@gasdev_s_,2,1,0,3,0,6,1,0.5,1.5,0,65.5
function@gasdev_v_,55,5,0,29,0,66,368.225,23.7179,142.81,0,285.275
function@def_dim_,1,0,0,1,0,22,0.21875,0,0.625,0,9.75
function@inp_par_,9,4,0,13,0,158,19.1557,32.2295,51.3852,0,773.016
function@read_phypar_,106,8,0,13,1,2174,19.9928,3.78552,7.31155,8.36586e-19,715.302
function@decode_line_,39,9,0,14,4,78,13.758,11.7261,8.4586,1.28662,58.9299
function@load_i1_,0,0,0,0,0,0,0,0,0,0,0
function@load_l1_,0,0,0,0,0,2,0,0,0,0,2
function@load_r1_,0,0,0,0,0,0,0,0,0,0,0
function@load_i_,0,0,0,0,0,14,0,0,0,0,2.12745
function@load_l_,7,2,0,6,1,13,31.6667,20.2857,2.2381,10.1429,55.1429
function@load_r_,0,0,0,0,0,16,0,0,0,0,2.73529
function@get_varcoords_,48,2,0,15,0,58,6.9541,0.664062,8.19141,0,27.271
function@_QMexchange_2d_modPexchange_p2d_tile,1,4,0,2,0,15,1,0.941177,2,0,29.2549
