"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@def_dim_,0,0,0,0,0,4,0,0,0,0,2.21875
function@inp_par_,106,43,0,57,0,82,137.836,122.336,231.025,0,430.271
function@read_phypar_,348,350,0,338,150,1182,16.3216,435.567,22.2064,408.857,154.588
function@decode_line_,45,20,0,26,7,68,15.6122,25.6531,16.2704,1.72959,165.158
function@load_i1_,0,0,0,0,0,1,0,0,0,0,0.5
function@load_l1_,0,0,0,0,0,0,0,0,0,0,0
function@load_r1_,0,0,0,0,0,1,0,0,0,0,0.5
function@load_i_,52,6,0,37,22,21,120.294,19.9706,82.0147,45.7745,56.3235
function@load_l_,3,7,0,7,3,14,30.4286,71,51.3333,30.4286,64.2857
function@load_r_,21,6,0,8,24,24,90.5588,30.5686,21.3922,91.4902,77.8137
function@get_varcoords_,64,53,0,67,46,67,25.5518,42.3633,24.7451,3.45752,138.413
function@_QMexchange_2d_modPexchange_p2d_tile,31,33,0,36,0,42,64.451,155.314,58.8627,0,87.9804
function@_QMexchange_2d_modPexchange_r2d_tile,31,33,0,36,0,42,64.451,155.314,58.8627,0,87.9804
function@_QMexchange_2d_modPexchange_u2d_tile,31,33,0,36,0,42,64.451,155.314,58.8627,0,87.9804
function@_QMexchange_2d_modPexchange_v2d_tile,31,33,0,36,0,42,64.451,155.314,58.8627,0,87.9804
function@_QMshapiro_modPshapiro2d_tile,180,102,0,128,13,133,4972.79,6003.7,2327.36,222.555,4206.16
function@_QMshapiro_modPshapiro3d_tile,182,130,0,132,12,122,95329.4,128749,44971.5,2525.4,82518.6
function@set_ngfld_,94,38,0,61,13,74,1061.31,1180.89,845.988,54.0588,1591.74
function@_QMuv3dmix_modPuv3dmix2,255,0,0,253,0,40,255,0,253,0,40
function@_QMuv3dmix_modPuv3dmix2_tile,604,231,0,443,43,244,975868,451462,219763,57293.3,256690
function@_QMocean_control_modProms_initialize,0,0,0,0,0,5,0,0,0,0,25.9839
function@_QMocean_control_modProms_run,0,0,0,0,0,0,0,0,0,0,0
function@_QMocean_control_modProms_finalize,0,0,0,0,0,4,0,0,0,0,41.25
function@_QMstep2d_modPstep2d,563,0,0,561,0,65,563,0,561,0,65
function@_QMstep2d_modPstep2d_tile,4091,1941,0,2618,365,1958,95449,56783.6,28379,5053.97,36182
function@_QMmod_forcesPallocate_forces,207,23,0,54,16,39,205,23,52,12,36
function@_QMmod_forcesPinitialize_forces,49,11,0,20,0,48,55129,25401.3,17155.6,0,38922.3
function@_QMnf_fwrite2d_modPnf_fwrite2d,77,30,0,53,2,44,945.847,629.222,534.43,31.25,577.986
function@_QMu3dbc_modPu3dbc,24,0,0,24,0,2,24,0,24,0,2
function@_QMu3dbc_modPu3dbc_tile,40,26,0,42,0,47,495.988,2629.21,858.074,0,1283.84
function@def_his_,84,45,0,68,5,100,47.141,38.484,40.3825,3.49618e-07,108.37
function@_QMmetrics_modPmetrics,384,0,0,384,0,100,384,0,384,0,100
function@_QMmetrics_modPmetrics_tile,1568,439,0,697,372,430,66982.4,54599.4,21480.3,6044.44,51535.5
function@_QMt3dbc_modPt3dbc,30,0,0,30,0,2,30,0,30,0,2
function@_QMt3dbc_modPt3dbc_tile,47,30,0,48,0,48,1203.85,3033.7,1061.14,0,1183.33
