"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@Perl_invert,0,0,0,0,0,0,0,0,0,0,0
function@Perl_op_scope,0,0,0,0,0,4,0,0,0,0,1.61527
function@Perl_newLISTOP,0,0,0,0,0,8,0,0,0,0,4.92063
function@Perl_op_unscope,0,0,0,0,0,2,0,0,0,0,4.175
function@Perl_block_start,1,0,0,1,0,8,1,0,1,0,51.125
function@Perl_block_end,0,1,0,1,0,23,0,1,1,0,136.493
function@S_scalarseq,0,0,0,0,0,5,0,0,0,0,15
function@Perl_newSTATEOP,0,0,0,0,0,5,0,0,0,0,2.8
function@Perl_blockhook_register,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newPROG,0,0,0,0,0,9,0,0,0,0,2.63462
function@Perl_localize,1,0,0,1,0,11,0.00175527,0,0.0625,0,2.39374
function@Perl_jmaybe,0,0,0,0,0,6,0,0,0,0,2.12941
function@Perl_newSVREF,0,0,0,0,0,1,0,0,0,0,1
function@Perl_newGVOP,0,0,0,0,0,0,0,0,0,0,0
function@S_force_list,0,0,0,0,0,7,0,0,0,0,4.60294
function@S_fold_constants,9,0,0,5,0,27,0.43788,0,0.48382,0,6.48794
function@Perl_newNULLLIST,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newUNOP_AUX,0,0,0,0,0,3,0,0,0,0,2.61905
function@Perl_newMETHOP,1,0,0,1,0,5,0.154412,0,0.154412,0,2.65441
function@Perl_newATTRSUB_x,108,32,0,37,24,68,10.5815,3.47982,6.46835,5.58273,8.6047
function@S_set_haseval,3,5,0,4,0,4,20.5714,18.7143,2.42857,0,85.381
function@uvcompare,0,0,0,0,0,3,0,0,0,0,1.75
function@Perl_newDEFSVOP,0,0,0,0,0,7,0,0,0,0,5.38235
function@Perl_newPVOP,0,0,0,0,0,2,0,0,0,0,2
function@Perl_package,0,0,0,0,0,0,0,0,0,0,0
function@Perl_package_version,0,0,0,0,0,1,0,0,0,0,1
function@Perl_utilize,7,0,0,3,0,42,1.49625,0,1.50187,0,13.4888
function@Perl_vload_module,0,1,0,1,0,5,0,1,1,0,4.82353
function@Perl_dofile,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newSLICEOP,0,0,0,0,0,2,0,0,0,0,2
function@Perl_newASSIGNOP,7,1,0,4,0,23,0.185847,1.33514e-05,0.165642,0,2.74821
function@Perl_newLOGOP,0,0,0,0,0,0,0,0,0,0,0
function@S_assignment_type,0,0,0,0,0,5,0,0,0,0,1.67578
function@S_new_logop,19,0,0,4,0,28,2.63538,0,1.79435,0,23.803
function@Perl_newCONDOP,1,0,0,1,0,31,0.331401,0,0.331401,0,31.636
function@Perl_newRANGE,2,0,0,1,0,12,0.971429,0,1,0,25.6
function@Perl_newLOOPOP,1,1,0,1,2,14,0.868507,0.625,0.234375,0.765625,5.02386
function@Perl_newWHILEOP,8,0,0,5,2,35,2.16533,0,1.68541,0.570312,10.0277
function@Perl_newFOROP,5,1,0,6,6,27,2.18475,0.0615836,1.42522,0.803519,10.5572
function@Perl_newLOOPEX,0,0,0,0,0,7,0,0,0,0,2.625
function@Perl_newGIVENOP,0,0,0,0,0,2,0,0,0,0,2
function@S_newGIVWHENOP,3,0,0,2,0,8,1.97059,0,2,0,22.6471
function@S_ref_array_or_hash,0,0,0,0,0,1,0,0,0,0,0.443478
function@Perl_newANONLIST,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newWHENOP,0,0,0,0,0,7,0,0,0,0,3.92
function@S_looks_like_bool,0,0,0,0,0,1,0,0,0,0,0.565121
function@Perl_cv_ckproto_len_flags,17,6,0,18,0,49,1.77732,0.391886,2.12402,0,9.89811
function@Perl_cv_const_sv,0,0,0,0,0,2,0,0,0,0,0.358025
function@Perl_cv_const_sv_or_av,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newMYSUB,63,15,0,26,9,68,10.4575,2.50765,13.0828,1.82973,26.204
function@S_move_proto_attr,11,5,0,8,2,15,1.45915,0.74056,4.57975,0.208333,8.21696
function@S_perl_hash_one_at_a_time_hard,0,0,0,0,0,14,0,0,0,0,52.5714
function@S_op_const_sv,0,1,0,1,1,9,0,0.249143,0.274286,0.312,24.1303
function@S_already_defined,1,0,0,1,0,3,0.468864,0,0.468864,0,2.17582
function@const_sv_xsub,0,0,0,0,0,0,0,0,0,0,0
function@Perl_report_redefined_cv,0,1,0,2,1,3,0,0.111725,0.812081,0.187525,0.187919
function@Perl_newCONSTSUB_flags,0,0,0,0,0,3,0,0,0,0,2.15625
function@S_process_special_blocks,2,0,0,2,0,5,0.123167,0,0.123167,0,2.14663
function@Perl_newCONSTSUB,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newXS_len_flags,0,1,0,1,5,8,0,1,0.118227,0.876847,5.28243
function@const_av_xsub,2,0,0,1,0,2,0.313726,0,0.313726,0,1.31373
function@Perl_newXS,0,0,0,0,0,3,0,0,0,0,1.125
function@Perl_newXS_flags,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newXS_deffile,0,0,0,0,0,3,0,0,0,0,1.14286
function@Perl_newSTUB,0,0,0,0,0,3,0,0,0,0,3
function@Perl_newFORM,0,0,0,0,0,11,0,0,0,0,3.38393
function@Perl_newANONHASH,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newANONSUB,0,0,0,0,0,1,0,0,0,0,1
function@Perl_newANONATTRSUB,0,0,0,0,0,1,0,0,0,0,1
function@Perl_oopsAV,0,0,0,0,0,2,0,0,0,0,2
function@Perl_oopsHV,0,0,0,0,0,2,0,0,0,0,2
function@Perl_newAVREF,0,0,0,0,0,2,0,0,0,0,1.25
function@Perl_newGVREF,0,0,0,0,0,2,0,0,0,0,0.5
function@Perl_newHVREF,0,0,0,0,0,2,0,0,0,0,1.25
function@Perl_newCVREF,0,0,0,0,0,1,0,0,0,0,1
function@Perl_ck_anoncode,0,0,0,0,0,1,0,0,0,0,1
function@Perl_ck_backtick,0,0,0,0,0,6,0,0,0,0,2.51471
function@Perl_ck_bitop,0,0,0,0,0,1,0,0,0,0,1
function@Perl_ck_cmp,0,0,0,0,0,1,0,0,0,0,1
