"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@S_op_pretty,0,0,0,0,0,4,0,0,0,0,1.65079
function@S_no_bareword_allowed,0,0,0,0,0,1,0,0,0,0,1
function@S_inplace_aassign,2,0,0,1,0,1,0.000481968,0,0.000314327,0,1
function@S_scalarkids,0,0,0,0,0,2,0,0,0,0,2
function@S_gen_constant_list,1,0,0,1,0,6,0.607843,0,1,0,2.30392
function@S_listkids,0,0,0,0,0,2,0,0,0,0,2
function@S_check_hash_fields_and_hekify,6,2,0,3,14,7,11.0596,10.1953,0.568848,3.44189,16.4697
function@Perl_finalize_optree,0,0,0,0,0,1,0,0,0,0,1
function@S_finalize_op,0,0,0,0,0,5,0,0,0,0,11.1896
function@Perl_op_lvalue_flags,0,2,0,0,25,11,0,0.0119463,0,0.437652,0.708764
function@S_modkids,0,0,0,0,0,3,0,0,0,0,3
function@S_scalar_mod_type,0,0,0,0,0,0,0,0,0,0,0
function@Perl_doref,0,0,0,0,0,2,0,0,0,0,1.60891
function@S_mark_padname_lvalue,0,0,0,0,0,3,0,0,0,0,9.8125
function@S_vivifies,0,0,0,0,0,2,0,0,0,0,2
function@S_lvref,0,0,0,0,0,10,0,0,0,0,10.8351
function@Perl_apply_attrs_string,0,0,0,0,0,28,0,0,0,0,1029.09
function@Perl_op_append_elem,0,0,0,0,0,2,0,0,0,0,1.12883
function@Perl_newSVOP,0,0,0,0,0,2,0,0,0,0,2
function@Perl_load_module,0,0,0,0,0,0,0,0,0,0,0
function@Perl_op_prepend_elem,0,0,0,0,0,4,0,0,0,0,4.26009
function@Perl_my_attrs,0,0,0,0,0,6,0,0,0,0,3.25
function@S_my_kid,5,0,0,2,0,8,0.089613,0,0.0570265,0,4.74542
function@Perl_op_append_list,0,0,0,0,0,4,0,0,0,0,1.97859
function@Perl_sawparens,0,0,0,0,0,0,0,0,0,0,0
function@Perl_bind_match,5,11,0,8,5,8,64.0323,126.226,139.952,65.0403,255.653
function@Perl_newBINOP,5,2,0,1,0,8,3.625,0.5625,1,0,5.1875
function@Perl_pmruntime,242,176,0,98,105,63,162.119,170.853,53.6782,92.5284,63.4105
function@Perl_newPMOP,0,0,0,0,0,9,0,0,0,0,4.17647
function@Perl_invert,0,0,0,0,0,0,0,0,0,0,0
function@Perl_op_scope,0,0,0,0,0,5,0,0,0,0,1.69313
function@Perl_newOP,0,0,0,0,0,3,0,0,0,0,3
function@Perl_newLISTOP,0,0,0,0,0,7,0,0,0,0,3.92063
function@Perl_op_unscope,0,0,0,0,0,2,0,0,0,0,4.175
function@Perl_block_start,1,0,0,1,0,8,1,0,1,0,51.125
function@Perl_block_end,0,1,0,1,0,26,0,1,1,0,143.841
function@S_scalarseq,0,0,0,0,0,5,0,0,0,0,15
function@Perl_newSTATEOP,1,1,0,1,0,3,0.246154,0.246154,0.246154,0,2.30769
function@Perl_blockhook_register,0,0,0,0,0,0,0,0,0,0,0
function@Perl_newPROG,0,0,0,0,0,11,0,0,0,0,2.89011
function@Perl_localize,2,0,0,1,0,4,0.0642553,0,0.0625,0,1.51066
