"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@lzma_lzma2_props_decode,0,0,0,0,0,1,0,0,0,0,0.0784314
function@lzma2_decode,10,6,0,9,11,21,7.39741,11.0888,13.3024,7.42215,77.6695
function@lzma2_decoder_end,0,0,0,0,0,0,0,0,0,0,0
function@lzma_lzma_encode,15,0,0,6,0,59,39.7135,0,13.5633,0,194.389
function@rc_encode,4,1,0,3,0,11,13.4094,0.0631676,2.06317,0,20.1155
function@lzma_lzma_encoder_reset,2,2,0,2,0,129,0.0458984,0.405273,0.0615234,0,22.4331
function@lzma_lzma_encoder_create,0,0,0,0,0,1,0,0,0,0,0.428571
function@lzma_lzma_encoder_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma_encoder_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma_lzma_encoder_memusage,0,0,0,0,0,1,0,0,0,0,0.0312499
function@lzma_lzma_lclppb_encode,0,0,0,0,0,0,0,0,0,0,0
function@lzma_lzma_props_encode,0,0,0,0,0,0,0,0,0,0,0
function@lzma_mode_is_supported,0,0,0,0,0,0,0,0,0,0,0
function@match,9,5,0,7,0,28,1.47162,0.710372,1.70841,0,24.9315
function@length,12,1,0,9,0,15,5.66667,1,5.45238,0,5.38095
function@length_update_prices,26,12,0,11,1,29,69.6307,49.7564,24.754,0.5,2227.22
function@lzma_encode,0,0,0,0,0,0,0,0,0,0,0
function@lzma_lzma_decoder_create,0,0,0,0,0,0,0,0,0,0,0
function@lzma_decode,937,36,0,892,189,1259,249.941,15.3998,224.978,4.52638,365.353
function@lzma_decoder_reset,3,0,0,3,0,123,3,0,3,0,612.766
function@lzma_decoder_uncompressed,0,0,0,0,0,0,0,0,0,0,0
function@lzma_lzma_decoder_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma_decoder_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma_lzma_lclppb_decode,0,0,0,0,0,1,0,0,0,0,0.5
function@lzma_lzma_decoder_memusage_nocheck,0,0,0,0,0,0,0,0,0,0,0
function@lzma_lzma_decoder_memusage,0,0,0,0,0,0,0,0,0,0,0
function@lzma_lzma_props_decode,0,0,0,0,0,2,0,0,0,0,1.14706
function@lzma_simple_x86_encoder_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma_simple_x86_decoder_init,0,0,0,0,0,0,0,0,0,0,0
function@x86_code,10,0,0,4,0,18,33.625,0,16.875,0,210.438
function@lzma_simple_armthumb_encoder_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma_simple_armthumb_decoder_init,0,0,0,0,0,0,0,0,0,0,0
function@armthumb_code,1,0,0,1,0,25,1.96875,0,0.25,0,124.25
function@lzma_simple_powerpc_encoder_init,0,0,0,0,0,0,0,0,0,0,0
