"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@Perl_op_prepend_elem,0,0,0,0,0,5,0,0,0,0,4.27811
function@Perl_my_attrs,0,0,0,0,0,6,0,0,0,0,3.25
function@S_my_kid,0,0,0,0,0,8,0,0,0,0,4.74542
function@Perl_op_append_list,0,0,0,0,0,4,0,0,0,0,1.97859
function@S_cant_declare,0,0,0,0,0,2,0,0,0,0,1.33333
function@S_apply_attrs,0,0,0,0,0,14,0,0,0,0,7.9266
function@S_apply_attrs_my,2,3,0,1,0,24,0.425373,1.38806,1,0,11.3806
function@S_dup_attrlist,0,0,0,0,0,4,0,0,0,0,3.83333
function@Perl_newOP,0,0,0,0,0,3,0,0,0,0,3
function@Perl_op_convert_list,8,1,0,2,1,11,5.70588,1,2,1,5.77647
function@Perl_newMETHOP_named,0,0,0,0,0,1,0,0,0,0,1
function@Perl_sawparens,0,0,0,0,0,0,0,0,0,0,0
function@Perl_bind_match,23,10,0,11,5,4,370.073,67.3468,140.629,65.0403,191.419
function@Perl_newBINOP,2,1,0,1,0,8,1.25,1,1,0,5.5625
function@Perl_pmruntime,254,175,0,106,92,56,200.462,166.229,84.2491,83.0048,64.9598
function@Perl_newPMOP,0,0,0,0,0,7,0,0,0,0,3.17647
function@Perl_invert,0,0,0,0,0,0,0,0,0,0,0
function@Perl_op_scope,0,0,0,0,0,4,0,0,0,0,1.61527
function@Perl_newLISTOP,2,2,0,4,0,6,1.69841,1.30159,1.96825,0,4.25397
function@Perl_op_unscope,0,0,0,0,0,2,0,0,0,0,4.175
function@Perl_block_start,3,0,0,2,0,6,1.5,0,1.25,0,50.625
function@Perl_block_end,0,2,0,3,0,22,0,21,1.9375,0,135.868
function@S_scalarseq,0,0,0,0,0,5,0,0,0,0,15
function@Perl_newSTATEOP,3,1,0,2,0,3,2.24615,0.246154,1.24615,0,2.30769
